track_name,artist_name,danceability,energy,valence,played_at,track_id,play_count
Losers (Feat. Jelly Roll),"Post Malone, Jelly Roll",0.607,0.76,0.414,2024-10-27 10:38:51,0gucUyFMFRMlUiVn9US4YX,1
Like You Mean It,Steven Rodriguez,0.702,0.331,0.414,2024-10-27 10:35:22,27qo8wD02bPb4tbunUm8w8,1
Fall Back (feat. NAV),"Lithe, NAV",0.855,0.229,0.439,2024-10-27 10:32:43,2L6KDf6tt2bZpIrSvG2qlz,1
Clubhouse,Mac Miller,0.785,0.616,0.907,2024-10-27 10:29:52,7rdyAfIm1t6h6I1gyLtD17,1
Foreplay,Jalen Santoy,0.787,0.335,0.582,2024-10-27 10:26:51,3zdtYfRqOn1axEmHZTWivp,1
Still Omw,Blxst,0.78,0.589,0.552,2024-10-27 10:23:59,2jCow5NxFb0EbcbIGRwNmN,1
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",0.644,0.874,0.753,2024-10-27 10:20:14,5IZXB5IKAD2qlvTPJYDCFB,1
All Falls Down,"Kanye West, Syleena Johnson",0.657,0.734,0.434,2024-10-27 10:16:02,5SkRLpaGtvYPhw02vZhQQ9,1
Redbone,Childish Gambino,0.741,0.354,0.583,2024-10-27 10:11:26,3vQ4T78TTMOjQXGfXVKQJo,1
Lose Control,Teddy Swims,0.561,0.604,0.242,2024-10-27 10:05:15,17phhZDn6oGtzMe56NuWvj,1
